Date,Duration(min),Distance(km),Calories,Steps,AvgHR,MaxHR,BPM
2025-12-29T01:50:00Z,10,1.37,73,1560,127,145,160
2025-12-30T10:40:00Z,15,1.81,113,2460,132,151,165
2025-12-31T01:30:00Z,18,1.89,141,2376,135,155,170
2026-01-01T10:20:00Z,26,4.19,211,3640,144,165,175
2026-01-02T03:10:00Z,38,5.51,319,5624,158,180,180
2026-01-03T01:00:00Z,12,1.55,84,1872,132,155,185
2026-01-04T10:50:00Z,7,0.79,51,1148,128,152,190
2026-01-05T01:40:00Z,11,1.86,83,1452,133,151,160
2026-01-06T10:30:00Z,17,2.60,133,2380,140,159,165
2026-01-07T01:20:00Z,20,2.74,162,2960,143,163,170
2026-01-08T10:10:00Z,27,3.27,227,4212,150,171,175
2026-01-09T03:00:00Z,37,3.88,259,6068,160,182,180
2026-01-10T01:50:00Z,10,1.61,73,1320,130,153,185
2026-01-11T10:40:00Z,5,0.72,38,700,124,148,190
2026-01-12T01:30:00Z,10,1.29,78,1480,128,146,160
2026-01-13T10:20:00Z,17,1.92,138,2652,134,153,165
2026-01-14T01:10:00Z,20,3.38,168,3280,137,157,170
2026-01-15T10:00:00Z,28,4.28,196,3696,145,166,175
2026-01-16T03:50:00Z,37,5.07,269,5180,155,177,180
2026-01-17T01:40:00Z,9,1.09,68,1332,127,150,185
2026-01-18T10:30:00Z,3,0.35,24,468,122,146,190
2026-01-19T01:20:00Z,7,1.13,57,1148,127,145,160
2026-01-20T10:10:00Z,14,2.03,118,1848,136,155,165
2026-01-21T01:00:00Z,19,2.45,133,2660,142,162,170
2026-01-22T10:50:00Z,28,3.16,204,4144,151,172,175
2026-01-23T03:40:00Z,38,6.42,287,5928,162,184,180
2026-01-24T01:30:00Z,11,1.68,86,1804,133,156,185
2026-01-25T10:20:00Z,3,0.41,24,396,123,147,190
2026-01-26T01:10:00Z,7,0.85,59,980,126,144,160
2026-01-27T10:00:00Z,13,1.36,91,1924,131,150,165
2026-01-28T01:50:00Z,18,2.90,131,2808,136,156,170
2026-01-29T10:40:00Z,27,3.91,204,4428,144,165,175
2026-01-30T03:30:00Z,39,5.03,306,5148,157,179,180
2026-01-31T01:20:00Z,13,1.47,106,1820,130,153,185
2026-02-01T10:10:00Z,6,1.01,50,888,123,147,190
2026-02-02T01:00:00Z,9,1.38,63,1404,128,146,160
2026-02-03T10:50:00Z,14,1.92,102,2296,134,153,165
2026-02-04T01:40:00Z,18,2.18,136,2376,140,160,170
2026-02-05T10:30:00Z,27,2.83,212,3780,150,171,175
2026-02-06T03:20:00Z,39,6.28,317,5772,163,185,180
2026-02-07T01:10:00Z,13,1.88,109,2028,136,159,185
2026-02-08T10:00:00Z,7,0.90,49,1148,129,153,190
2026-02-09T01:50:00Z,11,1.24,80,1452,132,150,160
2026-02-10T10:40:00Z,16,2.70,121,2240,136,155,165
2026-02-11T01:30:00Z,19,2.91,149,2812,138,158,170
2026-02-12T10:20:00Z,26,3.56,211,4056,144,165,175
2026-02-13T03:10:00Z,37,4.48,311,6068,155,177,180
2026-02-14T01:00:00Z,10,1.05,70,1320,127,150,185
2026-02-15T10:50:00Z,5,0.81,36,700,121,145,190
2026-02-16T01:40:00Z,10,1.45,76,1480,127,145,160
2026-02-17T10:30:00Z,16,2.06,125,2496,135,154,165
2026-02-18T01:20:00Z,20,2.26,162,3280,140,160,170
2026-02-19T10:10:00Z,27,4.56,227,3564,149,170,175
2026-02-20T03:00:00Z,36,5.51,252,5040,159,181,180
2026-02-21T01:50:00Z,9,1.23,66,1332,131,154,185
2026-02-22T10:40:00Z,3,0.36,23,468,125,149,190
2026-02-23T01:30:00Z,8,0.84,63,1312,130,148,160
2026-02-24T10:20:00Z,15,2.42,122,1980,137,156,165
2026-02-25T01:10:00Z,20,2.90,168,2800,141,161,170
2026-02-26T10:00:00Z,28,3.61,196,4144,148,169,175
2026-02-27T03:50:00Z,38,4.29,277,5928,157,179,180
2026-02-28T01:40:00Z,10,1.69,76,1640,127,150,185
2026-03-01T10:30:00Z,3,0.46,24,396,120,144,190
2026-03-02T01:20:00Z,7,0.96,57,980,123,141,160
2026-03-03T10:10:00Z,14,1.69,118,2072,131,150,165
2026-03-04T01:00:00Z,19,1.99,133,2964,138,158,170
2026-03-05T10:50:00Z,28,4.51,204,4592,148,169,175
2026-03-06T03:40:00Z,40,5.80,302,5280,162,184,180
2026-03-07T01:30:00Z,13,1.68,102,1820,135,158,185
2026-03-08T10:20:00Z,6,0.68,49,888,128,152,190
2026-03-09T01:10:00Z,9,1.52,76,1404,131,149,160
2026-03-10T10:00:00Z,14,2.14,98,2296,136,155,165
2026-03-11T01:50:00Z,18,2.47,131,2376,140,160,170
2026-03-12T10:40:00Z,27,3.27,204,3780,148,169,175
2026-03-13T03:30:00Z,39,4.09,306,5772,160,182,180
2026-03-14T01:20:00Z,13,2.09,106,2028,131,154,185
2026-03-15T10:10:00Z,7,1.01,59,1148,124,148,190
2026-03-16T01:00:00Z,11,1.42,77,1452,128,146,160
2026-03-17T10:50:00Z,15,1.69,109,2100,132,151,165
2026-03-18T01:40:00Z,18,3.04,136,2664,135,155,170
2026-03-19T10:30:00Z,26,3.98,204,4056,145,166,175
2026-03-20T03:20:00Z,37,5.07,300,6068,157,179,180
2026-03-21T01:10:00Z,11,1.33,92,1452,131,154,185
2026-03-22T10:00:00Z,6,0.63,42,840,127,151,190
2026-03-23T01:50:00Z,10,1.61,73,1480,132,150,160
2026-03-24T10:40:00Z,16,2.32,121,2496,139,158,165
2026-03-25T01:30:00Z,19,2.45,149,3116,142,162,170
2026-03-26T10:20:00Z,26,2.94,211,3432,149,170,175
2026-03-27T03:10:00Z,36,6.08,302,5040,158,180,180
2026-03-28T01:00:00Z,9,1.38,63,1332,129,152,185
2026-03-29T10:50:00Z,3,0.41,22,468,121,145,190
2026-03-30T01:40:00Z,8,0.97,60,1312,125,143,160
2026-03-31T10:30:00Z,15,1.57,118,1980,132,151,165
2026-04-01T01:20:00Z,20,3.22,162,2800,137,157,170
2026-04-02T10:10:00Z,28,4.06,235,4144,146,167,175
2026-04-03T03:00:00Z,38,4.90,266,5928,157,179,180
2026-04-04T01:50:00Z,10,1.13,73,1640,128,151,185
2026-04-05T10:40:00Z,3,0.51,23,396,122,146,190
2026-04-06T01:30:00Z,8,1.22,63,1120,129,147,160
2026-04-07T10:20:00Z,15,2.06,122,2220,137,156,165
2026-04-08T01:10:00Z,20,2.42,168,3120,143,163,170
2026-04-09T10:00:00Z,29,3.04,203,4756,152,173,175
2026-04-10T03:50:00Z,40,6.44,291,5280,164,186,180
2026-04-11T01:40:00Z,12,1.74,91,1680,133,156,185
2026-04-12T10:30:00Z,5,0.65,39,740,125,149,190
2026-04-13T01:20:00Z,8,0.90,65,1248,127,145,160
2026-04-14T10:10:00Z,14,2.37,118,2296,132,151,165
2026-04-15T01:00:00Z,19,2.91,133,2508,136,156,170
2026-04-16T10:50:00Z,28,3.84,204,3920,145,166,175
2026-04-17T03:40:00Z,40,4.84,302,5920,158,180,180
2026-04-18T01:30:00Z,13,1.36,102,2028,130,153,185
2026-04-19T10:20:00Z,7,1.13,57,1148,125,149,190
2026-04-20T01:10:00Z,10,1.45,84,1320,129,147,160
2026-04-21T10:00:00Z,15,1.94,105,2100,136,155,165
2026-04-22T01:50:00Z,18,2.03,131,2664,140,160,170
2026-04-23T10:40:00Z,26,4.39,197,4056,149,170,175
2026-04-24T03:30:00Z,37,5.66,290,6068,161,183,180
2026-04-25T01:20:00Z,11,1.51,89,1452,133,156,185
2026-04-26T10:10:00Z,6,0.73,50,840,127,151,190
2026-04-27T01:00:00Z,10,1.05,70,1480,131,149,160
2026-04-28T10:50:00Z,15,2.42,109,2340,135,154,165
2026-04-29T01:40:00Z,18,2.61,136,2952,137,157,170
2026-04-30T10:30:00Z,25,3.23,196,3300,143,164,175
2026-05-01T03:20:00Z,36,4.07,292,5040,154,176,180
2026-05-02T01:10:00Z,9,1.52,76,1332,125,148,185
2026-05-03T10:00:00Z,4,0.61,28,624,121,145,190
2026-05-04T01:50:00Z,9,1.23,66,1476,127,145,160
2026-05-05T10:40:00Z,16,1.94,121,2112,135,154,165
2026-05-06T01:30:00Z,20,2.10,157,2800,141,161,170
2026-05-07T10:20:00Z,27,4.35,219,3996,149,170,175
2026-05-08T03:10:00Z,37,5.36,311,5772,160,182,180
2026-05-09T01:00:00Z,10,1.29,70,1640,132,155,185
2026-05-10T10:50:00Z,4,0.45,29,528,126,150,190
2026-05-11T01:40:00Z,8,1.35,60,1120,130,148,160
2026-05-12T10:30:00Z,16,2.45,125,2368,137,156,165
2026-05-13T01:20:00Z,21,2.88,171,3276,141,161,170
2026-05-14T10:10:00Z,29,3.51,244,4756,148,169,175
2026-05-15T03:00:00Z,40,4.20,280,5280,159,181,180
2026-05-16T01:50:00Z,12,1.93,87,1680,129,152,185
2026-05-17T10:40:00Z,5,0.72,38,740,121,145,190
2026-05-18T01:30:00Z,8,1.03,63,1248,125,143,160
2026-05-19T10:20:00Z,14,1.58,114,2296,132,151,165
2026-05-20T01:10:00Z,19,3.21,160,2508,138,158,170
2026-05-21T10:00:00Z,28,4.28,196,3920,149,170,175
2026-05-22T03:50:00Z,40,5.48,291,5920,162,184,180
2026-05-23T01:40:00Z,13,1.57,98,2028,135,158,185
2026-05-24T10:30:00Z,6,0.63,47,984,128,152,190
2026-05-25T01:20:00Z,9,1.45,73,1188,131,149,160
2026-05-26T10:10:00Z,14,2.03,118,1960,136,155,165
2026-05-27T01:00:00Z,17,2.19,119,2516,139,159,170
2026-05-28T10:50:00Z,26,2.94,189,4056,147,168,175
2026-05-29T03:40:00Z,38,6.42,287,6232,158,180,180
2026-05-30T01:30:00Z,11,1.68,86,1452,129,152,185
2026-05-31T10:20:00Z,6,0.82,49,840,123,147,190
2026-06-01T01:10:00Z,10,1.21,84,1480,127,145,160
2026-06-02T10:00:00Z,15,1.57,105,2340,132,151,165
2026-06-03T01:50:00Z,17,2.74,124,2788,135,155,170
2026-06-04T10:40:00Z,25,3.62,189,3300,144,165,175
2026-06-05T03:30:00Z,36,4.64,282,5040,157,179,180
2026-06-06T01:20:00Z,10,1.13,81,1480,130,153,185
2026-06-07T10:10:00Z,5,0.84,42,780,126,150,190
2026-06-08T01:00:00Z,10,1.53,70,1640,132,150,160
2026-06-09T10:50:00Z,16,2.19,116,2112,139,158,165
2026-06-10T01:40:00Z,20,2.42,151,2800,143,163,170
2026-06-11T10:30:00Z,27,2.83,212,3996,149,170,175
2026-06-12T03:20:00Z,37,5.96,300,5772,159,181,180
2026-06-13T01:10:00Z,10,1.45,84,1640,129,152,185
2026-06-14T10:00:00Z,4,0.52,28,528,122,146,190
2026-06-15T01:50:00Z,9,1.02,66,1260,126,144,160
2026-06-16T10:40:00Z,16,2.70,121,2368,133,152,165
2026-06-17T01:30:00Z,21,3.21,165,3276,138,158,170
2026-06-18T10:20:00Z,29,3.97,235,4756,147,168,175
2026-06-19T03:10:00Z,39,4.72,328,5148,158,180,180
2026-06-20T01:00:00Z,11,1.16,77,1540,130,153,185
2026-06-21T10:50:00Z,4,0.64,29,592,124,148,190
2026-06-22T01:40:00Z,8,1.16,60,1248,129,147,160
2026-06-23T10:30:00Z,15,1.94,118,2460,137,156,165
2026-06-24T01:20:00Z,20,2.26,162,2640,143,163,170
2026-06-25T10:10:00Z,29,4.90,244,4060,152,173,175
2026-06-26T03:00:00Z,40,6.12,280,5920,163,185,180
2026-06-27T01:50:00Z,12,1.64,87,1872,133,156,185
2026-06-28T10:40:00Z,5,0.60,38,820,124,148,190
2026-06-29T01:30:00Z,8,0.84,63,1056,126,144,160
2026-06-30T10:20:00Z,13,2.09,106,1820,131,150,165
2026-07-01T01:10:00Z,17,2.46,143,2516,134,154,170
2026-07-02T10:00:00Z,26,3.35,182,4056,143,164,175
2026-07-03T03:50:00Z,38,4.29,277,6232,156,178,180
2026-07-04T01:40:00Z,12,2.03,91,1584,130,153,185
2026-07-05T10:30:00Z,6,0.92,47,840,124,148,190
2026-07-06T01:20:00Z,9,1.23,73,1332,129,147,160
2026-07-07T10:10:00Z,14,1.69,118,2184,135,154,165
2026-07-08T01:00:00Z,17,1.78,119,2788,139,159,170
2026-07-09T10:50:00Z,25,4.03,182,3300,148,169,175
2026-07-10T03:40:00Z,36,5.22,272,5040,160,182,180
2026-07-11T01:30:00Z,10,1.29,78,1480,132,155,185
2026-07-12T10:20:00Z,6,0.68,49,936,127,151,190
2026-07-13T01:10:00Z,10,1.69,84,1640,130,148,160
2026-07-14T10:00:00Z,16,2.45,112,2112,135,154,165
2026-07-15T01:50:00Z,19,2.60,138,2660,137,157,170
2026-07-16T10:40:00Z,26,3.15,197,3848,144,165,175
2026-07-17T03:30:00Z,37,3.88,290,5772,155,177,180
2026-07-18T01:20:00Z,10,1.61,81,1640,127,150,185
2026-07-19T10:10:00Z,5,0.72,42,660,122,146,190
2026-07-20T01:00:00Z,10,1.29,70,1400,128,146,160
2026-07-21T10:50:00Z,17,1.92,124,2516,137,156,165
2026-07-22T01:40:00Z,21,3.55,159,3276,142,162,170
2026-07-23T10:30:00Z,29,4.44,227,4756,152,173,175
2026-07-24T03:20:00Z,39,5.34,317,5148,163,185,180
2026-07-25T01:10:00Z,11,1.33,92,1540,134,157,185
2026-07-26T10:00:00Z,4,0.42,28,592,126,150,190
2026-07-27T01:50:00Z,8,1.29,58,1248,129,147,160
2026-07-28T10:40:00Z,15,2.17,113,2460,136,155,165
2026-07-29T01:30:00Z,20,2.58,157,2640,140,160,170
2026-07-30T10:20:00Z,29,3.28,235,4060,148,169,175
2026-07-31T03:10:00Z,40,6.76,336,5920,159,181,180
2026-08-01T01:00:00Z,12,1.84,84,1872,129,152,185
2026-08-02T10:50:00Z,4,0.55,29,656,120,144,190
2026-08-03T01:40:00Z,7,0.85,53,924,124,142,160
2026-08-04T10:30:00Z,13,1.36,102,1820,131,150,165
2026-08-05T01:20:00Z,17,2.74,138,2516,136,156,170
2026-08-06T10:10:00Z,26,3.77,218,4056,147,168,175
2026-08-07T03:00:00Z,38,4.90,266,6232,161,183,180
2026-08-08T01:50:00Z,12,1.36,87,1584,134,157,185
2026-08-09T10:40:00Z,5,0.84,38,700,127,151,190
2026-08-10T01:30:00Z,8,1.22,63,1184,130,148,160
2026-08-11T10:20:00Z,13,1.78,106,2028,135,154,165
2026-08-12T01:10:00Z,17,2.06,143,2788,138,158,170
2026-08-13T10:00:00Z,25,2.63,175,3300,145,166,175
2026-08-14T03:50:00Z,37,5.96,269,5180,157,179,180
2026-08-15T01:40:00Z,11,1.59,83,1628,128,151,185
2026-08-16T10:30:00Z,6,0.77,47,936,123,147,190
2026-08-17T01:20:00Z,11,1.24,89,1804,128,146,160
